Branch Name,Address
Harare Avondale,"{'streetAddress': '21 Natal Road', 'city': 'Harare'}"
Harare Borrowdale,"{'streetAddress': '34 Sam Levy Village', 'city': 'Harare'}"
Harare Chisipite,"{'streetAddress': '2 Hind House', 'city': 'Harare'}"
Harare Southerton,"{'streetAddress': 'Lytton/Douglas Road', 'city': 'Harare'}"
Harare First Street,"{'streetAddress': '46 Speke Avenue', 'city': 'Harare'}"
Harare Graniteside,"{'streetAddress': '27B, Cripps Road', 'city': 'Harare'}"
Harare Belvedere,"{'streetAddress': 'Longcheng Plaza Complex', 'city': 'Harare'}"
Harare Msasa,"{'streetAddress': 'Colonade Complex Beverley West', 'city': 'Harare'}"
Harare Rotten Row,"{'streetAddress': 'Kaguvi St/Kwameh Nkrumah Avenue', 'city': 'Harare'}"
Harare Ruwa,"{'streetAddress': 'Stand No. 428', 'city': 'Ruwa'}"
